pantun_id,line1,line2,line3,line4,region,theme,is_complete,full_text
1,"Adik sayang jangan merajuk,",Mari ke sini boleh dipujuk;,"Adik umpama penawar yang sejuk,",Racun kuminum tidak mabuk.,Johor dan Melaka,Peribahasa & Kiasan,True,"Adik sayang jangan merajuk, Mari ke sini boleh dipujuk;; Adik umpama penawar yang sejuk, Racun kuminum tidak mabuk."
2,"Air tenang nampak termenung,",Hendak berenang terasa takut;,"Kalau asal kain ditenun,",Lulus jarum benang mengikut.,Johor dan Melaka,Peribahasa & Kiasan,True,"Air tenang nampak termenung, Hendak berenang terasa takut;; Kalau asal kain ditenun, Lulus jarum benang mengikut."
3,Ambil jarum cucuk benang.,Jarum ada di dalam cembul;,"Air tenang adik mengharung,",Tidak kusangka buaya timbul.,Johor dan Melaka,Peribahasa & Kiasan,True,"Ambil jarum cucuk benang. Jarum ada di dalam cembul;; Air tenang adik mengharung, Tidak kusangka buaya timbul."
4,Anak anjing dua beradik;,Satu bodoh satu cerdik;,"Saya umpama teras yang baik,",Tahan berjemur di panas terik.,Johor dan Melaka,Peribahasa & Kiasan,True,"Anak anjing dua beradik; Satu bodoh satu cerdik;; Saya umpama teras yang baik, Tahan berjemur di panas terik."
5,"Anak Cina pergi ke hutan,",Ambil terap dengan getahnya;,"Tuan umpama permata intan,",Saya nak tumpang kilat cahayanya.,Johor dan Melaka,Peribahasa & Kiasan,True,"Anak Cina pergi ke hutan, Ambil terap dengan getahnya;; Tuan umpama permata intan, Saya nak tumpang kilat cahayanya."
6,"Anak kuda makan pagi,",Makan mari daun nangka;,"Kalau sudah barang berkunci,",Ibarat buah masak di raga.,Johor dan Melaka,Peribahasa & Kiasan,True,"Anak kuda makan pagi, Makan mari daun nangka;; Kalau sudah barang berkunci, Ibarat buah masak di raga."
7,"Anak Yu mati terlentang,",Mati ditikam duri semilang:,"Pilu hati bukan kepalang,",Gunung tinggi menjadi padang.,Johor dan Melaka,Peribahasa & Kiasan,True,"Anak Yu mati terlentang, Mati ditikam duri semilang:; Pilu hati bukan kepalang, Gunung tinggi menjadi padang."
8,Asal sukun di Laut Jati,Terendak Cina jatuh ke ruang,Patah tumbuh hilang berganti,Kasih lama tidak terbuang,Johor dan Melaka,Peribahasa & Kiasan,True,Asal sukun di Laut Jati Terendak Cina jatuh ke ruang; Patah tumbuh hilang berganti Kasih lama tidak terbuang
9,Ati-ati tumbuh di paya,Air tenang di kaki bukit,Sampai hati meninggalkan saya,Tidak mengenang barang sedikit,Johor dan Melaka,Peribahasa & Kiasan,True,Ati-ati tumbuh di paya Air tenang di kaki bukit; Sampai hati meninggalkan saya Tidak mengenang barang sedikit
10,"Berembang buah pedada,",Dijolok-jolok jatuh tak jadi;,"Bintang apa tersemat di dada,",Jasa pagar makan padi.,Johor dan Melaka,Peribahasa & Kiasan,True,"Berembang buah pedada, Dijolok-jolok jatuh tak jadi;; Bintang apa tersemat di dada, Jasa pagar makan padi."
11,"Buah bacang jatuh ke paya,",Pokok pauh bernama mangga;,"Apalah malang nasib saya,",Sudah jatuh ditimpa tangga.,Johor dan Melaka,Peribahasa & Kiasan,True,"Buah bacang jatuh ke paya, Pokok pauh bernama mangga;; Apalah malang nasib saya, Sudah jatuh ditimpa tangga."
12,"Buah delima masak merekah,",Sudah tika berbunga lagi;,"Bermohon kasih puas sudah,",Ibarat embun dibakar matahari.,Johor dan Melaka,Peribahasa & Kiasan,True,"Buah delima masak merekah, Sudah tika berbunga lagi;; Bermohon kasih puas sudah, Ibarat embun dibakar matahari."
13,Buah nangka di tepi tebat.,Buah duku disangka jering;,"Disangka jujur hati sahabat,",Rupanya menikam kawan seiring.,Johor dan Melaka,Peribahasa & Kiasan,True,"Buah nangka di tepi tebat. Buah duku disangka jering;; Disangka jujur hati sahabat, Rupanya menikam kawan seiring."
